"ID","e1","e2","treatment","nAnimals","social_info","s","period","confidence","social_confidence","confidenceTreatment","uncertainty","confidence_treatments","confidence_self_category","confidence_self_factor","social_confidence_factor","norm1","under","under_factor","copy","stay"
17,80,80,0,94,95,0,16,6,7,3,"30%","High",2,"Medium","7",0.851063829787234,-1,"underestimate",0,1
17,60,60,0,44,49,0,17,6,3,1,"30%","Low",2,"Medium","3",1.36363636363636,1,"overestimate",0,1
17,90,90,1,76,75,0,18,6,6,2,"100%","Medium",2,"Medium","6",1.18421052631579,1,"overestimate",0,1
17,75,78,0,98,91,0.1875,19,5,10,3,"30%","High",2,"Medium","10",0.76530612244898,-1,"underestimate",0,0
17,80,80,1,62,63,0,20,7,10,3,"100%","High",3,"High","10",1.29032258064516,1,"overestimate",0,1
18,90,95,1,93,110,0.25,1,3,4,1,"100%","Low",1,"Low","4",0.967741935483871,-1,"underestimate",0,0
18,75,80,0,84,90,0.333333333333333,2,3,6,2,"30%","Medium",1,"Low","6",0.892857142857143,-1,"underestimate",0,0
18,85,81,1,58,69,0.25,3,6,5,2,"100%","Medium",2,"Medium","5",1.46551724137931,1,"overestimate",0,0
18,108,100,1,79,80,0.285714285714286,4,7,5,2,"100%","Medium",3,"High","5",1.36708860759494,1,"overestimate",0,0
18,50,55,1,57,60,0.5,5,8,8,3,"100%","High",3,"High","8",0.87719298245614,-1,"underestimate",0,0
18,80,80,0,94,90,0,6,3,3,1,"30%","Low",1,"Low","3",0.851063829787234,-1,"underestimate",0,1
18,45,41,1,44,34,0.363636363636364,7,9,9,3,"100%","High",3,"High","9",1.02272727272727,1,"overestimate",0,0
18,87,85,0,76,70,0.117647058823529,8,4,3,1,"30%","Low",1,"Low","3",1.14473684210526,1,"overestimate",0,0
18,90,91,0,98,102,0.0833333333333333,9,2,1,1,"30%","Low",1,"Low","1",0.918367346938776,-1,"underestimate",0,0
18,68,65,1,62,55,0.230769230769231,10,7,3,1,"100%","Low",3,"High","3",1.09677419354839,1,"overestimate",0,0
18,87,95,0,93,101,0.571428571428571,11,2,9,3,"30%","High",1,"Low","9",0.935483870967742,-1,"underestimate",0,0
18,110,100,1,84,87,0.434782608695652,12,8,7,3,"100%","High",3,"High","7",1.30952380952381,1,"overestimate",0,0
18,75,70,1,58,60,0.333333333333333,13,7,10,3,"100%","High",3,"High","10",1.29310344827586,1,"overestimate",0,0
18,55,61,0,79,67,0.5,14,4,9,3,"30%","High",1,"Low","9",0.69620253164557,-1,"underestimate",0,0
18,68,65,0,57,54,0.214285714285714,15,3,3,1,"30%","Low",1,"Low","3",1.19298245614035,1,"overestimate",0,0
18,100,93,1,94,82,0.388888888888889,16,6,6,2,"100%","Medium",2,"Medium","6",1.06382978723404,1,"overestimate",0,0
18,40,42,0,44,49,0.222222222222222,17,6,3,1,"30%","Low",2,"Medium","3",0.909090909090909,-1,"underestimate",0,0
18,78,74,1,76,62,0.25,18,5,7,3,"100%","High",2,"Medium","7",1.02631578947368,1,"overestimate",0,0
18,83,85,0,98,99,0.125,19,3,2,1,"30%","Low",1,"Low","2",0.846938775510204,-1,"underestimate",0,0
18,58,62,0,62,70,0.333333333333333,20,2,7,3,"30%","High",1,"Low","7",0.935483870967742,-1,"underestimate",0,0
19,60,65,1,93,70,0.5,1,7,7,3,"100%","High",3,"High","7",0.645161290322581,-1,"underestimate",0,0
19,85,79,0,84,69,0.375,2,8,3,1,"30%","Low",3,"High","3",1.01190476190476,1,"overestimate",0,0
19,55,60,1,58,66,0.454545454545455,3,7,3,1,"100%","Low",3,"High","3",0.948275862068966,-1,"underestimate",0,0
19,80,71,0,79,65,0.6,4,6,2,1,"30%","Low",2,"Medium","2",1.0126582278481,1,"overestimate",0,0
19,50,55,0,57,60,0.5,5,8,5,2,"30%","Medium",3,"High","5",0.87719298245614,-1,"underestimate",0,0
19,60,65,0,94,74,0.357142857142857,6,8,5,2,"30%","Medium",3,"High","5",0.638297872340426,-1,"underestimate",0,0
19,40,41,1,44,49,0.111111111111111,7,7,3,1,"100%","Low",3,"High","3",0.909090909090909,-1,"underestimate",0,0
19,50,55,0,76,60,0.5,8,8,9,3,"30%","High",3,"High","9",0.657894736842105,-1,"underestimate",0,0
19,85,90,1,98,102,0.294117647058824,9,7,1,1,"100%","Low",3,"High","1",0.86734693877551,-1,"underestimate",0,0
19,60,65,1,62,73,0.384615384615385,10,6,8,3,"100%","High",2,"Medium","8",0.967741935483871,-1,"underestimate",0,0
19,70,80,0,93,89,0.526315789473684,11,7,6,2,"30%","Medium",3,"High","6",0.752688172043011,-1,"underestimate",0,0
19,70,76,1,84,84,0.428571428571429,12,7,7,3,"100%","High",3,"High","7",0.833333333333333,-1,"underestimate",0,0
19,60,51,1,58,47,0.692307692307692,13,8,8,3,"100%","High",3,"High","8",1.03448275862069,1,"overestimate",0,0
19,82,73,1,79,67,0.6,14,6,9,3,"100%","High",2,"Medium","9",1.0379746835443,1,"overestimate",0,0
19,53,59,0,57,63,0.6,15,5,3,1,"30%","Low",2,"Medium","3",0.929824561403509,-1,"underestimate",0,0
19,53,60,1,94,68,0.466666666666667,16,7,9,3,"100%","High",3,"High","9",0.563829787234043,-1,"underestimate",0,0
19,41,44,0,44,49,0.375,17,8,3,1,"30%","Low",3,"High","3",0.931818181818182,-1,"underestimate",0,0
19,71,76,0,76,82,0.454545454545455,18,6,8,3,"30%","High",2,"Medium","8",0.934210526315789,-1,"underestimate",0,0
19,91,108,1,98,116,0.68,19,6,4,1,"100%","Low",2,"Medium","4",0.928571428571429,-1,"underestimate",0,0
19,73,64,0,62,61,0.75,20,5,6,2,"30%","Medium",2,"Medium","6",1.17741935483871,1,"overestimate",0,0
20,42,46,1,93,49,0.571428571428571,1,9,7,3,"100%","High",3,"High","7",0.451612903225806,-1,"underestimate",0,0
20,23,28,0,84,41,0.277777777777778,2,5,6,2,"30%","Medium",2,"Medium","6",0.273809523809524,-1,"underestimate",0,0
20,31,33,1,58,39,0.25,3,5,1,1,"100%","Low",2,"Medium","1",0.53448275862069,-1,"underestimate",0,0
20,25,22,0,79,18,0.428571428571429,4,6,1,1,"30%","Low",2,"Medium","1",0.316455696202532,-1,"underestimate",0,0
20,47,51,0,57,55,0.5,5,6,7,3,"30%","High",2,"Medium","7",0.824561403508772,-1,"underestimate",0,0
20,15,17,0,94,19,0.5,6,6,10,3,"30%","High",2,"Medium","10",0.159574468085106,-1,"underestimate",0,0
20,19,44,1,44,19,Inf,7,6,10,3,"100%","High",2,"Medium","10",0.431818181818182,-1,"underestimate",0,0
20,32,35,1,76,38,0.5,8,6,4,1,"100%","Low",2,"Medium","4",0.421052631578947,-1,"underestimate",0,0
20,27,38,1,98,44,0.647058823529412,9,6,9,3,"100%","High",2,"Medium","9",0.275510204081633,-1,"underestimate",0,0
20,20,22,1,62,24,0.5,10,6,10,3,"100%","High",2,"Medium","10",0.32258064516129,-1,"underestimate",0,0
20,39,43,0,93,47,0.5,11,6,2,1,"30%","Low",2,"Medium","2",0.419354838709677,-1,"underestimate",0,0
20,33,32,1,84,34,-1,12,5,10,3,"100%","High",2,"Medium","10",0.392857142857143,-1,"underestimate",0,0
20,26,26,0,58,30,0,13,6,1,1,"30%","Low",2,"Medium","1",0.448275862068966,-1,"underestimate",0,1
20,26,29,0,79,41,0.2,14,5,9,3,"30%","High",2,"Medium","9",0.329113924050633,-1,"underestimate",0,0
20,23,26,1,57,43,0.15,15,7,6,2,"100%","Medium",3,"High","6",0.403508771929825,-1,"underestimate",0,0
20,20,24,1,94,36,0.25,16,6,2,1,"100%","Low",2,"Medium","2",0.212765957446809,-1,"underestimate",0,0
20,22,25,0,44,32,0.3,17,6,6,2,"30%","Medium",2,"Medium","6",0.5,-1,"underestimate",0,0
20,32,35,0,76,45,0.230769230769231,18,7,6,2,"30%","Medium",3,"High","6",0.421052631578947,-1,"underestimate",0,0
